STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
KCK,H,1,RIV STG,20181012 2100,20181012 2100,27.48, ,FEET
KCK,H,1,RIV STG,20181012 2200,20181012 2200,27.48, ,FEET
KCK,H,1,RIV STG,20181012 2300,20181012 2300,27.48, ,FEET
KCK,H,1,RIV STG,20181013 0000,20181013 0000,27.48, ,FEET
KCK,H,1,RIV STG,20181013 0100,20181013 0100,27.48, ,FEET
KCK,H,1,RIV STG,20181013 0200,20181013 0200,27.48, ,FEET
KCK,H,1,RIV STG,20181013 0300,20181013 0300,27.48, ,FEET
KCK,H,1,RIV STG,20181013 0400,20181013 0400,27.48, ,FEET
KCK,H,1,RIV STG,20181013 0500,20181013 0500,27.48, ,FEET
KCK,H,1,RIV STG,20181013 0600,20181013 0600,27.48, ,FEET
KCK,H,1,RIV STG,20181013 0700,20181013 0700,27.48, ,FEET
KCK,H,1,RIV STG,20181013 0800,20181013 0800,27.48, ,FEET
KCK,H,1,RIV STG,20181013 0900,20181013 0900,27.48, ,FEET
KCK,H,1,RIV STG,20181013 1000,20181013 1000,27.48, ,FEET
KCK,H,1,RIV STG,20181013 1100,20181013 1100,27.48, ,FEET
KCK,H,1,RIV STG,20181013 1200,20181013 1200,27.48, ,FEET
KCK,H,1,RIV STG,20181013 1300,20181013 1300,27.48, ,FEET
KCK,H,1,RIV STG,20181013 1400,20181013 1400,27.48, ,FEET
KCK,H,1,RIV STG,20181013 1500,20181013 1500,27.48, ,FEET
KCK,H,1,RIV STG,20181013 1600,20181013 1600,27.48, ,FEET
KCK,H,1,RIV STG,20181013 1700,20181013 1700,27.48, ,FEET
KCK,H,1,RIV STG,20181013 1800,20181013 1800,27.48, ,FEET
KCK,H,1,RIV STG,20181013 1900,20181013 1900,27.48, ,FEET
KCK,H,1,RIV STG,20181013 2000,20181013 2000,27.48, ,FEET
KCK,H,1,RIV STG,20181013 2100,20181013 2100,27.48, ,FEET
KCK,H,1,RIV STG,20181013 2200,20181013 2200,27.48, ,FEET
KCK,H,1,RIV STG,20181013 2300,20181013 2300,27.48, ,FEET
KCK,H,1,RIV STG,20181014 0000,20181014 0000,27.48, ,FEET
KCK,H,1,RIV STG,20181014 0100,20181014 0100,27.48, ,FEET
KCK,H,1,RIV STG,20181014 0200,20181014 0200,27.48, ,FEET
KCK,H,1,RIV STG,20181014 0300,20181014 0300,27.48, ,FEET
KCK,H,1,RIV STG,20181014 0400,20181014 0400,27.48, ,FEET
KCK,H,1,RIV STG,20181014 0500,20181014 0500,27.48, ,FEET
KCK,H,1,RIV STG,20181014 0600,20181014 0600,27.48, ,FEET
KCK,H,1,RIV STG,20181014 0700,20181014 0700,27.48, ,FEET
KCK,H,1,RIV STG,20181014 0800,20181014 0800,27.48, ,FEET
KCK,H,1,RIV STG,20181014 0900,20181014 0900,27.48, ,FEET
KCK,H,1,RIV STG,20181014 1000,20181014 1000,27.48, ,FEET
KCK,H,1,RIV STG,20181014 1100,20181014 1100,27.48, ,FEET
KCK,H,1,RIV STG,20181014 1200,20181014 1200,27.48, ,FEET
KCK,H,1,RIV STG,20181014 1300,20181014 1300,27.48, ,FEET
KCK,H,1,RIV STG,20181014 1400,20181014 1400,27.48, ,FEET
KCK,H,1,RIV STG,20181014 1500,20181014 1500,27.48, ,FEET
KCK,H,1,RIV STG,20181014 1600,20181014 1600,27.48, ,FEET
KCK,H,1,RIV STG,20181014 1700,20181014 1700,27.48, ,FEET
KCK,H,1,RIV STG,20181014 1800,20181014 1800,27.48, ,FEET
KCK,H,1,RIV STG,20181014 1900,20181014 1900,27.48, ,FEET
KCK,H,1,RIV STG,20181014 2000,20181014 2000,27.48, ,FEET
KCK,H,1,RIV STG,20181014 2100,20181014 2100,27.48, ,FEET
KCK,H,1,RIV STG,20181014 2200,20181014 2200,27.48, ,FEET
KCK,H,1,RIV STG,20181014 2300,20181014 2300,27.48, ,FEET
KCK,H,1,RIV STG,20181015 0000,20181015 0000,27.48, ,FEET
KCK,H,1,RIV STG,20181015 0100,20181015 0100,27.48, ,FEET
KCK,H,1,RIV STG,20181015 0200,20181015 0200,27.48, ,FEET
KCK,H,1,RIV STG,20181015 0300,20181015 0300,27.48, ,FEET
KCK,H,1,RIV STG,20181015 0400,20181015 0400,27.48, ,FEET
KCK,H,1,RIV STG,20181015 0500,20181015 0500,27.48, ,FEET
KCK,H,1,RIV STG,20181015 0600,20181015 0600,27.48, ,FEET
KCK,H,1,RIV STG,20181015 0700,20181015 0700,27.48, ,FEET
KCK,H,1,RIV STG,20181015 0800,20181015 0800,27.48, ,FEET
KCK,H,1,RIV STG,20181015 0900,20181015 0900,27.48, ,FEET
KCK,H,1,RIV STG,20181015 1000,20181015 1000,27.48, ,FEET
KCK,H,1,RIV STG,20181015 1100,20181015 1100,27.48, ,FEET
KCK,H,1,RIV STG,20181015 1200,20181015 1200,27.48, ,FEET
